"","Sample","Site","Year","Species_all","Species","Num","Length","Weight","l_As","l_Cd","l_Cu","l_Pb","l_Se","l_Zn","K","m_As","m_Cd","m_Cu","m_Pb","m_Se","m_Zn","g_As","g_Cd","g_Cu","g_Pb","g_Se","g_Zn","wb_As","wb_Cd","wb_Cu","wb_Pb","wb_Se","wb_Zn","d13C","d15N"
"20","BG21LSSU15","BG",2021,"LSSU","Suckers",15,534,1700,NA,NA,NA,NA,NA,NA,1.1164136820726,0.1010556605,0.015112146,0.747345154,0.020776081,0.430457646,16.318903091,0.423000196,0.7704002405,8.1934467555,0.7458448865,1.51522858,64.61965146,NA,NA,NA,NA,NA,NA,-27.61,12.58
"21","BG21MWF01","BG",2021,"MWF","MWF",1,312,365,NA,NA,NA,NA,NA,NA,1.20179137375883,0.289619265,0.006508298,1.262609828,0.005945052,0.850959974,15.05694761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-28.41,8.84
"22","BG21MWF02","BG",2021,"MWF","MWF",2,170,45,NA,NA,NA,NA,NA,NA,0.915937309179727,0.542110358,0.036302033,2.320909971,0.104065828,1.957889642,36.08422072,0.973534972,0.458412098,12.60869565,0.623818526,5.883742911,159.3809074,NA,NA,NA,NA,NA,NA,-27.34,13.02
"23","BG21MWF03","BG",2021,"MWF","MWF",3,406,685,NA,NA,NA,NA,NA,NA,1.02355803236344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-28.31,11.65
"24","BG21MWF04","BG",2021,"MWF","MWF",4,385,660,NA,NA,NA,NA,NA,NA,1.15654290051322,0.310182063,0.015171949,0.977747808,0.015171949,0.982805125,21.56608227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-28.36,11.76
"25","BG21MWF05","BG",2021,"MWF","MWF",5,282,260,NA,NA,NA,NA,NA,NA,1.15938058397822,0.180035129,0.004391101,1.466627635,0.00534811,1.285128806,18.27283372,0.462616822,0.495327103,3.913551402,0.406542056,20.06542056,106.1845794,NA,NA,NA,NA,NA,NA,-27.31,10.89
"26","BG21MWF06","BG",2021,"MWF","MWF",6,371,605,NA,NA,NA,NA,NA,NA,1.18476890083858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-28.36,11.37
"27","BG21MWF07","BG",2021,"MWF","MWF",7,276,235,NA,NA,NA,NA,NA,NA,1.11773954442648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-27.4,11.87
"28","BG21MWF09","BG",2021,"MWF","MWF",9,257,175,NA,NA,NA,NA,NA,NA,1.0309525536194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-27.24,11.82
"29","BG21MWF10","BG",2021,"MWF","MWF",10,168,55,NA,NA,NA,NA,NA,NA,1.15993818162186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-27.43,10.99
"30","BG21MWF11","BG",2021,"MWF","MWF",11,175,60,NA,NA,NA,NA,NA,NA,1.11953352769679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-30.6,12.73
"31","BG21MWF12","BG",2021,"MWF","MWF",12,230,140,NA,NA,NA,NA,NA,NA,1.15065340675598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-28.81,12.42
"32","BG21MWF13","BG",2021,"MWF","MWF",13,371,545,NA,NA,NA,NA,NA,NA,1.06727115860666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-29.06,13.1
"33","BG21MWF15","BG",2021,"MWF","MWF",15,366,525,NA,NA,NA,NA,NA,NA,1.07081894764564,0.258598397,0.00646496,1.099043186,0.004724372,1.031807603,17.95448668,0.67253803,0.384307446,3.57886309,0.648518815,8.923138511,89.91192954,NA,NA,NA,NA,NA,NA,-28.15,13.89
"34","BG21RSSH01","BG",2021,"RSSH","RSSH",1,20,0.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.281733746,0.278637771,23.18369453,3.054695562,2.765737874,237.4871001,-29.32,12.65
"35","BG21RSSH02","BG",2021,"RSSH","RSSH",2,20,0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.253106606,0.353172008,20.77501635,2.697841727,2.943100065,229.8855461,NA,NA
"36","BG21RSSH03","BG",2021,"RSSH","RSSH",3,20,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.173913043,0.245995423,17.9805492,1.939359268,2.946224256,230.0629291,-28.94,13.24
"37","BG21RSSH04","BG",2021,"RSSH","RSSH",4,20,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.766698935,0.387221684,18.08325266,1.665053243,2.666989351,225.5517909,-28.39,11.59
"38","BG21RSSH05","BG",2021,"RSSH","RSSH",5,20,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.773393461,0.298759865,16.09921082,1.623449831,2.576099211,245.3945885,-28.21,11.29
"39","BG22LL01","BG",2022,"LL","LL",1,320,265,NA,NA,NA,NA,NA,NA,0.8087158203125,0.388792891,0.013576895,1.466304616,0.004509787,1.06763762,31.36509504,0.46641791,0.223880597,8.600746269,0.78358209,1.865671642,316.8656716,NA,NA,NA,NA,NA,NA,-28.19,12.9
"40","BG22LL02","BG",2022,"LL","LL",2,292,275,NA,NA,NA,NA,NA,NA,1.10454684499649,0.316474416,0.001537142,1.02484472,0.005403474,1.140195209,22.12215321,0.70327553,0.260115607,98.88246628,0.433526012,2.668593449,568.3815029,NA,NA,NA,NA,NA,NA,-29.73,12.47
"41","BG22LL03","BG",2022,"LL","LL",3,301,280,NA,NA,NA,NA,NA,NA,1.02673542029286,0.563953488,0.005813953,1.393895349,0.005310798,1.216569767,34.35465116,1.063218391,0.201149425,16.12787356,0.804597701,3.060344828,371.4798851,NA,NA,NA,NA,NA,NA,-30.01,12.5
"42","BG22LL04","BG",2022,"LL","LL",4,429,640,NA,NA,NA,NA,NA,NA,0.810602796029956,1.128426172,0.004420866,0.984748011,0.008841733,1.151635721,24.89168877,0.715005035,0.171198389,20.55387714,0.563947633,3.136958711,214.8439074,NA,NA,NA,NA,NA,NA,-27.09,12.94
"43","BG22LL05","BG",2022,"LL","LL",5,366,450,NA,NA,NA,NA,NA,NA,0.917844812267693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-31.21,12.51
"44","BG22LL06","BG",2022,"LL","LL",6,366,450,NA,NA,NA,NA,NA,NA,0.917844812267693,0.149184581,0.006486286,1.270385471,0.01204596,1.006300964,27.06727205,0.489864865,0.275900901,7.31981982,1.047297297,2.561936937,390.1013514,NA,NA,NA,NA,NA,NA,NA,NA
"45","BG22LNDC01","BG",2022,"LNDC","LNDC",1,77,5,NA,NA,NA,NA,NA,NA,NA,0.165675446,0.28462192,3.802039082,0.046728972,2.090059473,60.60322855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-27.17,10.37
"46","BG22LSSU01","BG",2022,"LSSU","Suckers",1,470,1215,NA,NA,NA,NA,NA,NA,1.17026092484324,0.387735237,0.011356262,1.32706035,0.012978585,0.84523037,20.54023361,0.971810089,0.630563798,12.78560831,0.760385757,1.839762611,116.1646884,NA,NA,NA,NA,NA,NA,-29.43,14.03
"47","BG22LSSU02","BG",2022,"LSSU","Suckers",2,430,880,NA,NA,NA,NA,NA,NA,1.1068207830757,0.57542544,0.012979521,1.9180848,0.005269439,0.422555524,25.09374099,0.739625167,0.358099063,5.3145917,0.505354752,1.663319946,102.3627845,NA,NA,NA,NA,NA,NA,NA,NA
"48","BG22LSSU03","BG",2022,"LSSU","Suckers",3,505,1355,NA,NA,NA,NA,NA,NA,1.05211972035357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-29.18,13.77
"49","BG22LSSU04","BG",2022,"LSSU","Suckers",4,525,1670,NA,NA,NA,NA,NA,NA,1.15408703163805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-30.25,14.2
"50","BG22LSSU05","BG",2022,"LSSU","Suckers",5,556,1890,NA,NA,NA,NA,NA,NA,1.09960683179557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-27.88,13.24
"51","BG22LSSU06","BG",2022,"LSSU","Suckers",6,423,770,NA,NA,NA,NA,NA,NA,1.01734820474442,NA,NA,NA,NA,NA,NA,0.854956753,0.399201597,5.655355955,0.442448436,1.842980705,101.2175649,NA,NA,NA,NA,NA,NA,-28.55,12.46
"52","BG22LSSU07","BG",2022,"LSSU","Suckers",7,487,1265,NA,NA,NA,NA,NA,NA,1.09522573957456,NA,NA,NA,NA,NA,NA,0.590733591,0.123552124,4.694980695,0.44015444,1.637065637,77.83011583,NA,NA,NA,NA,NA,NA,-26.93,13.36
"53","BG22LSSU08","BG",2022,"LSSU","Suckers",8,430,880,NA,NA,NA,NA,NA,NA,1.1068207830757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-27.73,13.28
"54","BG22MWF01","BG",2022,"MWF","MWF",1,426,762,0.36099865,1.255060729,10.6511471,0.165317139,13.55937922,107.4696356,0.985657824927923,0.337643678,0.007183908,0.998563218,0.069444444,0.842911877,13.45785441,0.450856628,0.243462579,4.57619477,0.536519387,5.861136159,92.35798016,NA,NA,NA,NA,NA,NA,-27.72,11.19
