Cap,Site,Year,Species,Tissue,Num,Sample.weight,Length,Weight,As,Cd,Cu,Pb,Se,Zn
449,BG,2021,LL,l,4,0.0823,310,325,3.645200486,10.93560146,9515.188335,1.215066829,140.3402187,1653.09842
505,GC,2021,LL,l,11,0.1437,377,525,4.871259569,14.61377871,9145.441893,2.087682672,166.3187196,2318.719555
513,BG,2021,LL,l,6,0.1543,287,255,4.86066105,7.77705768,4370.058328,1.29617628,98.50939728,1878.807518
522,GC,2022,LL,g,14,0.0501,156,10,0.379241517,0.109780439,7.215568862,0.489021956,7.4750499,202.0259481
523,GC,2021,LNDC,wb,1,0.0955,32,48,0.994764398,0.628272251,15.12041885,0.989528796,1.848167539,205.3350785
524,GC,2021,LNDC,wb,2,0.143,42,83,0.863636364,0.608391608,10.2972028,0.548951049,1.622377622,161.0909091
525,GC,2021,LNSU,m,1,0.4282,181,655,0.409855208,0.117935544,2.589911256,0.088743578,0.817375058,50.92947221
526,GC,2021,LSSU,wb,12,0.0657,38,0.47,3.828006088,0.251141553,28.33333333,2.914764079,1.750380518,149.56621
527,GC,2021,RSSH,wb,1,0.0157,NA,0.06,0.732484076,0.50955414,13.05732484,2.579617834,1.847133758,145.0318471
528,GC,2021,LL,na,101,0.1188,,,3.367003367,15.15151515,8421.717172,0.841750842,268.9393939,1605.639731
529,BG,2022,LSSU,g,6,0.1503,423,770,0.854956753,0.399201597,5.655355955,0.442448436,1.842980705,101.2175649
530,BG,2021,MWF,m,1,0.3073,312,365,0.289619265,0.006508298,1.262609828,0.005945052,0.850959974,15.05694761
531,BG,2021,LL,g,3,0.1295,246,165,12.35521236,5.019305019,127.027027,17.76061776,25.86872587,5010.03861
532,BG,2021,LNSU,l,2,0.0309,245,160,1.521035599,0.938511327,75.97087379,0.258899676,3.365695793,152.1359223
533,BG,2021,LNSU,L,1,0.0996,229,115,2.740963855,0.436746988,35.57730924,4.603413655,1.887550201,187.7761044
534,BG,2021,LL,m,1,0.3084,235,155,0.319390402,0.004863813,1.027885863,0.012970169,1.26459144,17.43514916
535,BG,2021,LL,m,9,0.3013,230,28,0.912711583,0.004978427,1.037172254,0.019913707,1.062064388,17.91901759
536,BG,2022,LSSU,g,7,0.1295,487,1265,0.590733591,0.123552124,4.694980695,0.44015444,1.637065637,77.83011583
537,GC,2021,LSSU,wb,11,0.0703,36,0.3,3.321479374,0.248933144,23.314367,2.588904694,1.571834993,133.6059744
538,GC,2021,MWF,l,11,0.1307,252,165,0.554705432,0.313695486,8.006885998,0.053557766,13.94032135,134.716909
539,GC,2021,LL,m,11,0.4481,377,525,0.638250391,0.004463289,0.997545191,0.004077024,1.08234769,15.22874358
540,GC,2021,LNSU,m,2,0.2266,128,15,1.151809356,0.079435128,7.248455428,0.044130627,1.47396293,55.01323919
541,GC,2021,LL,g,10,0.121,369,495,6.198347107,2.892561983,46.69421488,7.024793388,22.72727273,5017.768595
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,423,770,,,,,,
,,,,,,,312,365,,,,,,
,,,,,,,246,165,,,,,,
,,,,,,,245,160,,,,,,
,,,,,,,229,115,,,,,,
,,,,,,,235,155,,,,,,
,,,,,,,230,28,,,,,,
,,,,,,,487,1265,,,,,,
,,,,,,,36,0.3,,,,,,
,,,,,,,252,165,,,,,,
,,,,,,,377,525,,,,,,
,,,,,,,128,15,,,,,,
,,,,,,,369,495,,,,,,
