Cap,Site,Year,Species,Tissue,Num,Sample.weight,Length,Weight,As,Cd,Cu,Pb,Se,Zn
57,DL,2021,LSSU,g,5,0.0509,430,816,0.461689587,0.10805501,14.2043222,0.746561886,1.591355599,99.53831041
58,DL,2021,LSSU,m,6,0.2868,428,844,0.235355649,0.008716876,1.392956764,0.027894003,1.201185495,25.13772664
59,DL,2021,LSSU,g,6,0.1449,428,844,0.655624569,0.155279503,6.007591442,1.839199448,1.93236715,105.4554865
60,DL,2021,LSSU,m,7,0.4045,479,1134,0.241038319,0.004944376,1.343634116,0.013597033,0.577255871,31.35352287
61,DL,2021,LSSU,g,7,0.0977,479,1134,0.342886387,0.092118731,5.547594678,0.624360287,1.028659161,97.1136131
62,DL,2021,LSSU,m,8,0.3819,436,862,0.199004975,0.00785546,1.632626342,0.011783189,0.555119141,21.34852056
63,DL,2021,LSSU,g,8,0.0881,436,862,0.289443814,0.119182747,4.659477866,0.584562997,1.08399546,113.3314415
64,DL,2021,LSSU,m,9,0.4958,436,862,0.320693828,0.005042356,1.413876563,0.014118596,0.695845099,23.88563937
75,DL,2021,MWF,m,2,0.3923,443,870,0.355595208,0.006372674,0.842467499,0.004656932,0.611776702,11.4542442
76,DL,2021,MWF,g,2,0.1453,443,870,0.471438403,0.196145905,3.386097729,0.464556091,4.824501032,74.61803166
77,DL,2021,MWF,l,2,0.1125,443,870,0.773333333,0.577777778,435.52,0.111111111,6.56,205.0222222
78,DL,2021,MWF,m,3,0.4368,438,766,0.178571429,0.034340659,1.3003663,0.044642857,0.907738095,15.5139652
79,DL,2021,MWF,g,3,0.1034,438,766,0.609284333,0.449709865,6.460348162,1.155705996,4.284332689,75.64796905
80,DL,2021,MWF,l,3,0.1182,438,766,0.81641286,4.035532995,28.48984772,0.194585448,5.837563452,151.036379
81,DL,2021,MWF,m,4,0.4011,365,458,0.241834954,0.007479432,1.043380703,0.011219147,0.832710047,12.31987036
82,DL,2021,MWF,g,4,0.0936,365,458,0.486111111,0.202991453,2.938034188,0.908119658,3.125,65.65705128
83,DL,2021,MWF,l,4,0.1211,365,458,0.706028076,0.879438481,14.01734104,0.123864575,9.149463254,126.4450867
84,DL,2021,MWF,m,5,0.3975,266,168,0.325786164,0.008805031,1.793710692,0.004596011,1.28427673,21.68050314
85,DL,2021,MWF,g,5,0.0567,266,168,0.784832451,0.379188713,4.567901235,0.317460317,6.754850088,101.5696649
86,DL,2021,MWF,l,5,0.874,266,168,0.061784897,0.035469108,0.934210526,0.013157895,1.554919908,9.339816934
87,DL,2021,MWF,m,6,0.3436,390,636,0.480209546,0.014551804,1.116123399,0.005316981,0.56024447,13.82130384
88,DL,2021,MWF,g,6,0.1465,390,636,0.829351536,0.160409556,3.518771331,1.092150171,1.651877133,64.07167235
89,DL,2021,MWF,l,6,0.1397,390,636,0.429491768,2.451682176,15.77666428,0.182534001,6.252684324,89.04080172
90,DL,2021,MWF,m,7,0.3314,400,644,0.268557634,0.004526252,0.988231744,0.005512717,0.695534098,13.96801448
201,DL,2022,LL,m,104,0.3825,175,60,0.767320261,0.003921569,1.186928105,0.011764706,1.349019608,27.16470588
202,DL,2022,LL,m,103,0.3655,166,45,0.452804378,0.008207934,1.10123119,0.004998398,1.755129959,23.40492476
203,DL,2022,LL,g,103,0.0511,166,45,1.350293542,0.205479452,9.980430528,0.909980431,5.107632094,364.6183953
204,DL,2022,LL,l,103,0.803,166,45,0.063511831,0.01867995,31.96699875,0.009339975,1.353051059,13.90348692
205,DL,2022,LL,g,102,0.0773,186,100,4.062095731,0.42690815,34.10090556,4.838292367,3.040103493,266.6429495
206,DL,2022,LL,m,102,0.4186,186,100,0.656951744,0.003583373,1.254180602,0.010750119,0.846870521,25.97945533
207,DL,2022,LL,l,102,0.1455,186,100,0.896907216,0.924398625,389.1030928,0.16838488,6.591065292,142.8522337
208,DL,2022,LL,l,101,0.0962,340,360,0.91995842,1.153846154,1151.049896,0.150727651,9.636174636,161.3825364
209,DL,2022,LL,g,101,0.0869,340,360,0.82278481,0.299194476,3.147295742,0.517836594,1.766398159,486.3924051
210,DL,2022,LL,m,101,0.4203,340,360,0.73875803,0.001236516,1.017130621,0.004346692,0.819652629,20.11896265
211,DL,2022,LL,g,104,0.0842,175,60,2.143705463,0.172209026,12.64845606,1.6152019,2.743467933,370.611639
212,DL,2022,LL,l,104,0.0962,175,60,1.003118503,0.680873181,467.1309771,0.155925156,7.739085239,221.3565489
213,DL,2022,MWF,g,1,0.1499,351,485,0.773849233,0.376917945,7.391594396,0.723815877,9.292861908,100.8038692
