Sample,Site,Year,Species,Num,Length,Weight,13C,15N,,,,,,,,,,,,
BG22MWF01,BG,2022,MWF,1,426,762,-27.72,11.19,,,,,,,,,,,,
GC22MWF09,GC,2022,MWF,9,426,835,-29.57,13.35,,,,,,,,,,,,
DL21LSSU06,DL,2021,LSSU,6,428,844,-26.67,9.74,,,,,,,,,,,,
BG22LL04,BG,2022,LL,4,429,640,-27.09,12.94,,,,,,,,,,,,
BG22LSSU08,BG,2022,LSSU,8,430,880,-27.73,13.28,,,,,,,,,,,,
BG22MWF10,BG,2022,MWF,10,430,815,-29.99,12.24,,,,,,,,,,,,
DL22MWF03,DL,2022,MWF,3,431,860,-28.59,12.12,,,,,,,,,,,,
DL21LSSU08,DL,2021,LSSU,8,436,862,-27.62,11.96,,,,,,,,,,,,
DL22MWF15,DL,2022,MWF,15,437,905,-27.52,13.08,,,,,,,,,,,,
DL21MWF03,DL,2021,MWF,3,438,766,-29.52,12.28,,,,,,,,,,,,
DL21MWF02,DL,2021,MWF,2,443,870,-27.33,11.84,,,,,,,,,,,,
BG21LSSU02,BG,2021,LSSU,2,448,1335,-30.13,13.50,,,,,,,,,,,,
DL21LSSU09,DL,2021,LSSU,9,450,957,-30.15,11.11,,,,,,,,,,,,
BG22MWF02,BG,2022,MWF,2,452,955,-27.33,12.38,,,,,,,,,,,,
GC21LSSU01A,GC,2021,LSSU,9,456,925,-27.28,11.37,,,,,,,,,,,,
GC21LSSU02,GC,2021,LSSU,2,457,990,-29.77,12.29,,,,,,,,,,,,
DL22LSSU03,DL,2022,LSSU,3,460,1045,-29.07,12.03,,,,,,,,,,,,
DL21LSSU01,DL,2021,LSSU,1,468,1056,-27.39,12.98,,,,,,,,,,,,
BG22LSSU01,BG,2022,LSSU,1,470,1215,-29.43,14.03,,,,,,,,,,,,
DL21LSSU07,DL,2021,LSSU,7,479,1134,-27.55,10.34,,,,,,,,,,,,
DL21LSSU02,DL,2021,LSSU,2,480,1114,-33.88,10.65,,,,,,,,,,,,
GC21LSSU01B,GC,2021,LSSU,10,485,1210,-28.93,12.21,,,,,,,,,,,,
BG22LSSU07,BG,2022,LSSU,7,487,1265,-26.93,13.36,,,,,,,,,,,,
DL22LSSU04,DL,2022,LSSU,4,488,1425,-29.39,11.03,,,,,,,,,,,,
BG21LSSU04,BG,2021,LSSU,4,490,1345,-28.12,14.08,,,,,,,,,,,,
GC21LSSU08,GC,2021,LSSU,8,497,1190,-28.29,11.19,,,,,,,,,,,,
DL21LSSU12,DL,2021,LSSU,12,498,1315,-29.88,10.99,,,,,,,,,,,,
GC21LSSU01,GC,2021,LSSU,1,500,1290,-29.96,12.44,,,,,,,,,,,,
BG22LSSU03,BG,2022,LSSU,3,505,1355,-29.18,13.77,,,,,,,,,,,,
DL22LSSU05,DL,2022,LSSU,5,520,1615,-26.53,11.64,,,,,,,,,,,,
BG22LSSU04,BG,2022,LSSU,4,525,1670,-30.25,14.20,,,,,,,,,,,,
GC21LSSU07,GC,2021,LSSU,7,525,1560,-27.63,12.60,,,,,,,,,,,,
BG21LSSU15,BG,2021,LSSU,15,534,1700,-27.61,12.58,,,,,,,,,,,,
BG22LSSU05,BG,2022,LSSU,5,556,1890,-27.88,13.24,,,,,,,,,,,,
DL22LSSU02,DL,2022,LSSU,2,583,1980,-27.36,11.55,,,,,,,,,,,,
GC21LSSU04,GC,2021,LSSU,4,593,1895,-27.89,10.61,,,,,,,,,,,,
BG21LNSU03,BG,2021,LNSU,3,205,85,-29.31,14.50,,,,,,,,,,,,
BG21RSSH01,BG,2021,RSSH,1,20,0.61,-29.32,12.65,,,,,,,,,,,,
BG21FSSH02,BG,2021,RSSH,2,20,0.79,-27.96,13.33,,,,,,,,,,,,
BG21RSSH03,BG,2021,RSSH,3,20,0.67,-28.94,13.24,,,,,,,,,,,,
BG21RSSH04,BG,2021,RSSH,4,20,0.57,-28.39,11.59,,,,,,,,,,,,
BG21RSSH05,BG,2021,RSSH,5,20,0.51,-28.21,11.29,,,,,,,,,,,,
DL21LNDC01,DL,2021,LNDC,1,69,,-26.93,11.45,,,,,,,,,,,,
DL21LNDC02,DL,2021,LNDC,2,61,,-29.22,11.68,,,,,,,,,,,,
DL21LNDC03,DL,2021,LNDC,3,61,,-32.20,12.17,,,,,,,,,,,,
