Site,Year,Species,Tissue,Num,Cap,Sample wt,Length,Weight,As,Cd,Cu,Pb,Se,Zn
DL,2021,MWF,L,2,77,0.1125,443,870,0.174,0.13,97.992,0.025,1.476,46.13
DL,2021,MWF,M,3,78,0.4368,438,766,0.156,0.03,1.136,0.039,0.793,13.553
DL,2021,MWF,G,3,79,0.1034,438,766,0.126,0.093,1.336,0.239,0.886,15.644
DL,2021,MWF,L,3,80,0.1182,438,766,0.193,0.954,6.735,0.046,1.38,35.705
DL,2021,MWF,M,4,81,0.4011,365,458,0.194,0.006,0.837,0.009,0.668,9.883
DL,2021,MWF,G,4,82,0.0936,365,458,0.091,0.038,0.55,0.17,0.585,12.291
DL,2021,MWF,L,4,83,0.1211,365,458,0.171,0.213,3.395,0.03,2.216,30.625
DL,2021,MWF,M,5,84,0.3975,266,168,0.259,0.007,1.426,0.003653829,1.021,17.236
DL,2021,MWF,G,5,85,0.0567,266,168,0.089,0.043,0.518,0.036,0.766,11.518
DL,2021,MWF,L,5,86,0.874,266,168,0.108,0.062,1.633,0.023,2.718,16.326
DL,2021,MWF,M,6,87,0.3436,390,636,0.33,0.01,0.767,0.003653829,0.385,9.498
DL,2021,MWF,G,6,88,0.1465,390,636,0.243,0.047,1.031,0.32,0.484,18.773
DL,2021,MWF,L,6,89,0.1397,390,636,0.12,0.685,4.408,0.051,1.747,24.878
DL,2021,MWF,M,7,90,0.3314,400,644,0.178,0.003,0.655,0.003653829,0.461,9.258
DL,2022,LL,M,104,201,0.3825,175,60,0.587,0.003,0.908,0.009,1.032,20.781
DL,2022,LL,M,103,202,0.3655,166,45,0.331,0.006,0.805,0.003653829,1.283,17.109
DL,2022,LL,G,103,203,0.0511,166,45,0.138,0.021,1.02,0.093,0.522,37.264
DL,2022,LL,L,103,204,0.803,166,45,0.102,0.03,51.339,0.015,2.173,22.329
DL,2022,LL,G,102,205,0.0773,186,100,0.628,0.066,5.272,0.748,0.47,41.223
DL,2022,LL,M,102,206,0.4186,186,100,0.55,0.003,1.05,0.009,0.709,21.75
DL,2022,LL,L,102,207,0.1455,186,100,0.261,0.269,113.229,0.049,1.918,41.57
DL,2022,LL,L,101,208,0.0962,340,360,0.177,0.222,221.462,0.029,1.854,31.05
DL,2022,LL,G,101,209,0.0869,340,360,0.143,0.052,0.547,0.09,0.307,84.535
DL,2022,LL,M,101,210,0.4203,340,360,0.621,0.001039416,0.855,0.003653829,0.689,16.912
DL,2022,LL,G,104,211,0.0842,175,60,0.361,0.029,2.13,0.272,0.462,62.411
DL,2022,LL,L,104,212,0.0962,175,60,0.193,0.131,89.876,0.03,1.489,42.589
DL,2022,MWF,G,1,213,0.1499,351,485,0.232,0.113,2.216,0.217,2.786,30.221
DL,2022,MWF,L,1,214,0.1483,351,485,0.18,0.103,3.266,0.037,2.035,35.503
DL,2022,MWF,M,1,215,0.2696,351,485,0.174,0.003,0.575,0.003653829,0.406,8.834
DL,2022,MWF,G,2,216,0.069,262,200,0.092,0.04,0.365,0.046,0.733,14.367
DL,2022,MWF,M,2,217,0.2803,262,200,0.141,0.001039416,0.74,0.01,0.787,10.972
DL,2022,MWF,L,2,218,0.1294,262,200,0.099,0.05,2.672,0.016,3.148,35.308
DL,2022,MWF,M,3,219,0.3335,431,860,0.197,0.009,0.78,0.003653829,0.511,10.168
DL,2022,MWF,G,3,220,0.1283,431,860,0.132,0.092,0.958,0.164,1.818,21.099
DL,2022,MWF,L,3,221,0.0827,431,860,0.084,0.238,1.705,0.042,0.999,16.306
DL,2022,MWF,G,4,222,0.0875,438,820,0.299,0.034,1.092,0.338,0.324,13.581
DL,2022,MWF,M,4,223,0.2909,438,820,0.474,0.007,0.663,0.009,0.432,19.64
DL,2022,MWF,L,4,224,0.1479,438,820,5.932,1.014,6.235,0.076,1.496,37.39
DL,2022,MWF,M,5,225,0.2601,362,500,0.125,0.007,0.546,0.003653829,0.464,10.395
DL,2022,MWF,L,5,226,0.0636,362,500,0.096,0.093,1.147,0.014,0.989,13.568
DL,2022,MWF,G,5,227,0.1072,362,500,0.21,0.059,0.681,0.101,0.913,20.123
DL,2022,LSSU,M,1,228,0.3504,612,2640,0.627,0.006,1.168,0.038,0.741,14.108
DL,2022,LSSU,L,1,229,0.1195,612,2640,0.895,0.562,5.719,0.051,0.804,23.051
DL,2022,LSSU,G,1,230,0.1445,612,2640,1.62,0.053,2.779,0.459,0.657,15.615
DL,2022,LSSU,g,2,231,0.1474,583,1980,0.856,0.122,1.468,0.361,0.27,20.834
DL,2022,LSSU,m,2,232,0.2442,583,1980,0.004092183,0.001039416,0.044439138,0.003653829,0.008455667,0.320620712
DL,2022,LSSU,g,3,233,0.1218,460,1045,0.403,0.033,1.749,0.231,0.422,18.528
DL,2022,LSSU,m,3,234,0.4472,460,1045,0.393,0.005,1.069,0.016,0.681,22.606
DL,2022,LSSU,l,4,235,0.1512,488,1425,0.294,0.608,23.945,0.06,0.812,49.965
DL,2022,LSSU,m,4,236,0.2579,488,1425,0.143,0.004,0.772,0.008,0.369,13.284
DL,2022,LSSU,g,4,237,0.1089,488,1425,0.157,0.028,1.379,0.187,0.394,17.156
DL,2022,LSSU,m,5,238,0.2806,520,1615,0.409,0.003,0.565,0.0065,1.0565,15.2495
DL,2022,LSSU,g,5,239,0.143,520,1615,0.913,0.037,3.941,0.604,0.51,25.057
GC,2022,MWF,m,1,240,0.2638,405,690,0.127,0.008,0.502,0.01,0.436,7.58
GC,2022,MWF,l,8,241,0.1344,330,370,1.063,1.059,1.059,1.13,1.146,6.532
GC,2022,MWF,g,1,242,0.0682,405,690,0.091,0.056,0.457,0.081,0.89,11.329
GC,2022,MWF,m,8,243,0.32,330,370,0.2,0.003,0.731,0.003653829,0.547,14.754
GC,2022,MWF,l,1,244,0.1421,405,690,0.226,0.333,3.131,0.076,2.752,31.645
GC,2022,MWF,g,15,245,0.0767,244,155,0.053,0.025,0.374,0.039,1.663,15.433
GC,2022,MWF,l,15,246,0.0682,244,155,0.116,0.056,1.284,0.009,0.905,12.587
GC,2022,MWF,m,3,247,0.3439,250,145,0.143,0.003,0.842,0.003653829,0.828,15.127
GC,2022,MWF,g,3,248,0.0524,250,145,0.037,0.024,0.395,0.031,1.517,12.613
GC,2022,MWF,l,3,249,0.107,250,145,0.217,0.039,1.749,0.012,1.457,32.852
GC,2022,MWF,m,15,250,0.3274,244,155,0.188,0.006,1,0.009,1.116,14.886
GC,2022,MWF,g,8,301,0.0774,330,370,0.071,0.029,0.346,0.033,0.947,13.57
GC,2022,MWF,M,9,302,0.326,426,835,0.266,0.017,0.539,0.003653829,0.444,10.286
GC,2022,MWF,l,9,303,0.0725,426,835,0.109,0.564,2.867,0.035,0.779,26.39
GC,2022,MWF,g,9,304,0.1412,426,835,0.195,0.109,0.785,0.59,0.703,22.13
BG,2022,LNDC,m,1,305,0.1177,77,5,0.039,0.067,0.895,0.011,0.492,14.266
BG,2022,LSSU,m,1,306,0.3082,470,1215,0.239,0.007,0.818,0.008,0.521,12.661
BG,2022,LSSU,g,1,307,0.1348,470,1215,0.262,0.17,3.447,0.205,0.496,31.318
BG,2022,LSSU,g,2,308,0.1494,430,880,0.221,0.107,1.588,0.151,0.497,30.586
BG,2022,LSSU,m,2,309,0.3467,430,880,0.399,0.009,1.33,0.003653829,0.293,17.4
BG,2022,LL,g,1,310,0.0536,320,265,0.05,0.024,0.922,0.084,0.2,33.968
BG,2022,LL,m,1,311,0.4051,320,265,0.315,0.011,1.188,0.003653829,0.865,25.412
BG,2022,LL,m,2,312,0.3381,292,275,0.214,0.001039416,0.693,0.003653829,0.771,14.959
BG,2022,LL,m,6,313,0.2698,366,450,0.0805,0.0035,0.6855,0.0065,0.543,14.6055
BG,2022,LL,g,6,314,0.0888,366,450,0.087,0.049,1.3,0.186,0.455,69.282
