Cap ID,Site,Year,Species,Tissue,Num,Length,Weight,Sample weight,As,Cd,Cu,Pb,Se,Zn
409,BG,2021,MWF,g,5,282,260,0.0499,0.026,0.023,0.773,0.019,0.124,16.933
410,BG,2021,LSSU,m,4,490,1345,0.0674,0.312,0.03,1.829,0.008,1.274,36.617
411,BG,2021,LSSU,m,3,476,1170,0.0248,0.213,0.065,2.094,0.034,0.748,38.886
412,BG,2021,LSSU,g,15,534,1700,0.0748,0.206,0.097,2.668,0.132,1.245,33.725
413,BG,2021,LSSU,m,15,534,1700,0.045,0.198,0.212,1.675,0.174,8.588,45.447
414,BG,2021,MWF,m,15,534,1700,0.0412,0.317,0.003,1.02,0.011,0.399,25.733
415,BG,2021,LL,l,9,280,230,0.0521,0.414,0.011,0.826,0.003653829,0.659,16.141
416,BG,2021,LNSU,m,2,245,160,0.1003,0.184,0.357,3.785,0.326,0.669,29.031
417,BG,2021,LNSU,g,3,205,85,0.0436,0.004092183,0.001039416,0.044439138,0.003653829,0.008455667,0.320620712
417,BG,2021,LNSU,g,3,205,85,0.0679,0.2,0.005,0.85,0.003653829,0.798,13.886
418,GC,2021,MWF,m,9,263,170,0.0221,0.37,0.004,1.267,0.018,0.457,31.519
419,GC,2021,LL,m,1,281,210,0.0382,0.234,0.078,4.094,0.133,0.485,23.714
420,GC,2022,LL,g,12,124,5,0.0683,0.211,0.075,3.889,0.141,0.424,22.206
421,GC,2022,LL,g,11,155,10,0.1156,0.15,0.003,0.766,0.003653829,1.052,12.727
422,GC,2022,LL,m,14,156,10,0.0501,0.531,0.001039416,0.638,0.003653829,0.643,12.658
423,GC,2022,LL,m,9,245,150,0.1388,0.035,0.021,1.251,0.042,0.137,27.003
424,GC,2022,LL,g,9,245,150,0.121,0.085,0.039,2.597,0.047,0.387,41.623
425,GC,2022,LL,m,8,107,10,0.1106,0.281,0.005,1.138,0.02,2.934,45.174
426,GC,2021,MWF,m,11,252,165,0.0347,0.288,0.007,0.989,0.003653829,1.247,48.979
427,GC,2021,LL,m,1,281,210,0.0888,0.12,0.03,1.366,0.009,0.51,23.191
428,BG,2021,LNSU,m,1,229,115,0.0831,0.174,0.004,0.765,0.003653829,1.081,11.618
429,BG,2021,MWF,m,5,282,260,0.1437,0.177,0.003,0.846,0.003653829,0.784,13.121
430,BG,2021,LL,m,6,287,255,0.3802,0.211,0.02,2.033,0.003653829,0.742,36.105
431,BG,2021,MWF,m,2,170,45,0.322,0.123,0.003,1.002,0.003653829,0.878,12.484
432,BG,2021,MWF,m,4,385,660,0.2587,0.265,0.001039416,0.597,0.003653829,0.507,9.698
433,BG,2021,MWF,g,15,534,1700,0.4087,0.279,0.001039416,0.6,0.003653829,0.537,9.848
434,BG,2021,LL,m,4,310,325,0.4309,0.224,0.015,0.959,0.043,0.809,14.91
435,BG,2021,LL,l,1,235,155,0.1398,0.184,0.009,0.58,0.009,0.583,12.793
436,BG,2021,LSSU,g,8,478,1195,0.4183,0.168,0.096,0.894,0.162,2.229,22.46
437,BG,2021,LSSU,m,8,478,1195,0.4481,0.241,0.003,0.661,0.003653829,0.492,11.835
438,BG,2021,LNSU,g,2,245,160,0.1188,0.521,0.121,7.354,0.614,1.621,70.927
439,GC,2021,MWF,l,11,252,165,0.0955,0.152,0.004,0.791,0.018,0.611,20.51
440,GC,2021,MWF,m,10,258,185,0.143,0.17,0.051,1.875,0.145,0.254,14.229
441,GC,2021,LL,g,14,423,625,0.4282,0.089,0.109,2.608,0.021,3.734,21.437
442,GC,2021,MWF,g,1,307,325,0.2266,0.159,0.008,0.945,0.003653829,0.64,14.49
443,GC,2021,MWF,m,14,390,715,0.2266,0.246,0.097,2.219,0.486,0.709,57.331
447,GC,2021,LL,l,14,423,625,0.0657,0.067,0.057,0.561,0.098,1.527,17.186
449,BG,2021,LL,l,4,310,325,0.0703,0.117,0.007,0.689,0.009,0.517,7.962
505,GC,2021,LL,l,11,377,525,0.0682,0.038,0.011,0.723,0.049,0.749,20.243
513,BG,2021,LL,l,6,287,255,0.0767,0.19,0.12,2.888,0.189,0.353,39.219
522,GC,2022,LL,g,14,156,10,0.0524,0.247,0.174,2.945,0.157,0.464,46.072
523,GC,2021,LNDC,wb,1,32,48,0.0774,0.351,0.101,2.218,0.076,0.7,43.616
524,GC,2021,LNDC,wb,2,42,83,0.1412,0.503,0.033,3.723,0.383,0.23,19.653
525,GC,2021,LNSU,m,1,,,0.0748,0.023,0.016,0.41,0.081,0.058,4.554
526,GC,2021,LSSU,wb,2,38,0.47,0.1344,0.257,0.12,1.7,0.133,0.554,30.426
527,GC,2021,RSSH,wb,1,na,0.06,0.1421,0.178,0.004,0.776,0.003653829,0.523,9.254
528,GC,2021,LL,g,1,281,210,0.0682,0.094,0.058,4.695,0.016,0.208,9.402
529,BG,2022,LSSU,g,2,430,880,0.107,0.546,0.087,7.087,0.917,0.376,37.405
530,BG,2021,MWF,m,1,312,365,0.0725,0.197,0.003,0.634,0.008,0.78,10.754
531,BG,2021,LL,g,3,246,165,0.0937,0.55,0.003,0.625,0.012,0.64,10.798
532,BG,2021,LNSU,l,2,245,160,0.1307,0.153,0.032,1.216,0.114,0.424,20.158
533,BG,2021,LNSU,l,1,229,115,0.2638,0.467,0.035,3.278,0.364,0.221,18.785
534,BG,2021,LL,m,1,235,155,0.32,0.145,0.082,2.093,0.014,3.644,35.215
535,BG,2021,LL,m,9,280,230,0.3439,0.572,0.004,0.894,0.003653829,0.97,13.648
536,BG,2022,LSSU,g,8,430,880,0.3274,0.522,0.036,3.285,0.02,0.668,24.932
537,GC,2021,LSSU,wb,1,36,0.3,0.326,3.321479374,0.248933144,23.314367,2.588904694,1.571834993,133.6059744
538,GC,2021,MWF,l,11,252,165,0.2902,0.554705432,0.313695486,8.006885998,0.053557766,13.94032135,134.716909
539,GC,2021,LL,m,11,377,525,0.3183,0.638250391,0.004463289,0.997545191,0.004463289,1.08234769,15.22874358
540,GC,2021,LNSU,m,2,,,0.3524,1.151809356,0.079435128,7.248455428,0.044130627,1.47396293,55.01323919
541,GC,2021,LL,g,10,369,495,0.2941,0.619834711,0.289256198,4.669421488,0.702479339,2.272727273,501.7768595
